day;time;aircraft; type;flight number;runway;gate;arrival or departure
06;04:00;Cargo;DXB;IBE214;07R;292;arrival
06;04:15;Cargo;DXB;IBE608;07L;288;departure
06;04:30;Private Jet;SIN;QTR407;07L;201;arrival
06;05:00;Military;ATL;BAW900;07L;343;departure
06;05:15;Airliner;LHR;AFR749;07R;301;arrival
06;05:30;Cargo;JFK;UAE710;07R;204;departure
06;06:15;Regional Jet;FRA;IBE969;25R;278;arrival
06;06:45;Regional Jet;MAD;IBE928;07L;273;departure
06;07:00;Military;LAX;QTR884;07L;189;arrival
06;07:15;Regional Jet;DOH;DLH418;07R;43;departure
06;07:45;Regional Jet;IST;UAE564;07R;199;arrival
06;08:00;Airliner;IST;DLH308;07R;315;departure
06;08:15;Regional Jet;SIN;AFR632;25R;163;arrival
06;08:30;Airliner;MAD;KLM736;25L;99;departure
06;08:45;Cargo;DOH;THY889;25L;239;arrival
06;09:00;Cargo;SIN;SIA466;25R;99;departure
06;09:30;Military;JFK;AAL892;07L;180;arrival
06;09:45;Regional Jet;LAX;AAL484;07R;142;departure
06;10:00;Regional Jet;ATL;DLH353;07R;79;arrival
06;10:30;Regional Jet;CDG;AAL838;25R;68;departure
06;10:45;Airliner;AMS;BAW688;07R;282;arrival
06;11:00;Private Jet;LAX;BAW963;07R;304;departure
06;11:15;Airliner;LAX;BAW533;25R;6;arrival
06;11:30;Private Jet;FRA;SIA150;25R;66;departure
06;11:45;Regional Jet;DOH;DLH557;07L;328;arrival
06;12:15;Airliner;SIN;BAW433;25L;352;departure
06;12:30;Regional Jet;SIN;AFR818;25R;273;arrival
06;12:45;Cargo;DXB;BAW146;07L;324;departure
06;13:00;Private Jet;LAX;AAL871;25R;321;arrival
06;13:15;Private Jet;HKG;SIA832;07R;246;departure
06;13:30;Cargo;JFK;BAW548;25R;52;arrival
06;13:45;Military;ORD;KLM876;07R;10;departure
06;14:00;Airliner;MAD;SIA215;25L;180;arrival
06;14:45;Airliner;SIN;UAE308;25R;2;departure
06;15:00;Military;CDG;BAW419;25R;200;arrival
06;15:15;Airliner;CDG;THY550;25R;93;departure
06;15:30;Cargo;HKG;KLM480;07R;256;arrival
06;16:00;Military;HKG;SIA366;07R;195;departure
06;16:15;Airliner;IST;KLM495;07R;289;arrival
06;16:30;Airliner;MAD;KLM803;25L;190;departure
06;16:45;Airliner;HKG;UAE648;25L;274;arrival
06;17:15;Cargo;CDG;DLH698;07R;226;departure
06;17:45;Cargo;HKG;AFR251;25R;89;arrival
06;18:00;Private Jet;SIN;BAW798;25R;324;departure
06;18:30;Cargo;FRA;IBE435;25R;76;arrival
06;19:00;Regional Jet;CDG;UAE887;07R;27;departure
06;19:15;Private Jet;IST;DLH914;25R;192;arrival
06;19:45;Airliner;ORD;SIA649;07L;247;departure
06;20:00;Cargo;BKK;CPA863;07L;259;arrival
06;20:15;Cargo;MAD;KLM253;07L;323;departure
06;20:30;Cargo;DXB;AFR740;25R;48;arrival
06;20:45;Airliner;DXB;QTR512;25R;333;departure
06;21:00;Private Jet;CDG;BAW686;07R;68;arrival
06;21:45;Airliner;BKK;QTR271;07R;220;departure
06;22:00;Cargo;ATL;DLH512;25R;27;arrival
06;22:15;Cargo;HKG;CPA721;07L;356;departure
06;22:30;Regional Jet;ORD;CPA460;07L;246;arrival
06;22:45;Regional Jet;AMS;AAL503;25R;122;departure
06;23:00;Cargo;DOH;CPA925;25L;293;arrival
06;23:30;Private Jet;ATL;AAL967;25L;350;departure
07;04:00;Cargo;DXB;UAE898;25R;34;arrival
07;04:15;Private Jet;LAX;QTR923;07R;9;departure
07;04:30;Regional Jet;LHR;BAW275;25R;123;arrival
07;04:45;Airliner;BKK;SIA277;25L;280;departure
07;05:00;Cargo;ORD;AAL802;25L;237;arrival
07;05:30;Regional Jet;CDG;AAL468;07R;7;departure
07;06:00;Private Jet;ATL;DLH176;07R;292;arrival
07;06:15;Military;FRA;CPA327;25R;94;departure
07;06:30;Military;LAX;DLH560;25L;210;arrival
07;06:45;Airliner;BKK;THY625;25R;90;departure
07;07:00;Military;JFK;THY986;07L;81;arrival
07;07:15;Regional Jet;JFK;BAW422;07R;20;departure
07;07:30;Military;JFK;KLM636;25L;35;arrival
07;07:45;Regional Jet;JFK;KLM943;25R;237;departure
07;08:00;Military;LHR;UAE386;07L;213;arrival
07;08:15;Military;CDG;CPA618;07L;193;departure
07;08:45;Military;ATL;THY714;07L;107;arrival
07;09:30;Military;JFK;IBE576;07L;154;departure
07;09:45;Regional Jet;FRA;AFR424;25R;29;arrival
07;10:00;Military;SIN;CPA907;25L;360;departure
07;10:30;Cargo;LAX;AFR783;07L;273;arrival
07;10:45;Regional Jet;ORD;AAL651;25R;335;departure
07;11:15;Cargo;BKK;BAW707;25R;4;arrival
07;11:30;Regional Jet;DXB;THY422;25L;105;departure
07;12:00;Cargo;LAX;THY763;25L;53;arrival
07;12:15;Military;FRA;CPA375;07R;173;departure
07;12:30;Cargo;LHR;SIA321;25R;241;arrival
07;12:45;Private Jet;MAD;QTR662;25L;303;departure
07;13:00;Military;HKG;AFR172;07L;272;arrival
07;13:15;Military;DXB;SIA143;07R;149;departure
07;14:00;Military;IST;SIA286;25L;196;arrival
07;14:30;Military;HKG;CPA533;07R;38;departure
07;14:45;Private Jet;DXB;QTR163;07R;110;arrival
07;15:30;Military;LAX;DLH102;07L;12;departure
07;16:00;Private Jet;AMS;IBE284;07R;168;arrival
07;16:15;Airliner;JFK;AAL645;07L;234;departure
07;16:30;Private Jet;SIN;KLM513;25L;218;arrival
07;16:45;Private Jet;HKG;AAL323;07L;171;departure
07;17:00;Military;DOH;UAE881;07R;20;arrival
07;17:15;Military;LHR;SIA620;25L;333;departure
07;18:00;Military;ORD;QTR996;25L;128;arrival
07;18:30;Airliner;CDG;AAL207;25R;107;departure
07;18:45;Military;IST;DLH151;25R;19;arrival
07;19:15;Private Jet;AMS;IBE958;07R;239;departure
07;19:30;Cargo;ORD;BAW606;07R;38;arrival
07;19:45;Military;LAX;SIA923;25R;216;departure
07;20:15;Military;BKK;DLH371;07R;201;arrival
07;20:30;Military;LAX;AAL607;25L;297;departure
07;20:45;Regional Jet;LAX;IBE893;25R;159;arrival
07;21:00;Cargo;CDG;AAL704;07L;134;departure
07;21:15;Military;FRA;THY468;25L;239;arrival
07;21:30;Regional Jet;CDG;AFR305;07R;21;departure
07;21:45;Military;HKG;AAL738;25L;309;arrival
07;22:00;Military;LHR;THY994;25L;244;departure
07;22:15;Regional Jet;AMS;BAW374;07R;55;arrival
07;22:30;Military;LHR;QTR828;07L;303;departure
07;22:45;Cargo;DXB;BAW488;07R;109;arrival
07;23:00;Military;DOH;QTR164;25L;145;departure
07;23:15;Regional Jet;MAD;AFR620;25R;169;arrival
07;23:30;Regional Jet;AMS;AFR770;25R;77;departure
08;04:00;Private Jet;ORD;QTR929;07R;258;arrival
08;04:15;Regional Jet;IST;THY870;07L;158;departure
08;04:30;Regional Jet;LAX;QTR435;25L;47;arrival
08;04:45;Cargo;LHR;IBE247;07L;326;departure
08;05:00;Cargo;JFK;UAE474;25L;40;arrival
08;05:15;Private Jet;ORD;AAL555;07R;168;departure
08;05:30;Cargo;LAX;CPA803;25L;264;arrival
08;05:45;Cargo;LAX;KLM377;07R;155;departure
08;06:00;Private Jet;SIN;DLH689;25R;134;arrival
08;06:15;Cargo;IST;AAL558;07L;335;departure
08;06:30;Private Jet;IST;QTR462;07L;322;arrival
08;06:45;Military;ORD;SIA731;07R;34;departure
08;07:00;Cargo;MAD;UAE681;07L;191;arrival
08;07:15;Military;CDG;BAW789;25R;305;departure
08;07:30;Cargo;MAD;CPA160;25L;219;arrival
08;07:45;Regional Jet;LHR;KLM525;25R;169;departure
08;08:00;Military;DOH;QTR784;25R;359;arrival
08;08:15;Airliner;LAX;KLM900;07L;205;departure
08;08:30;Cargo;JFK;QTR423;07L;339;arrival
08;08:45;Regional Jet;LAX;AAL162;25R;237;departure
08;09:00;Military;IST;BAW739;25L;262;arrival
08;09:15;Cargo;CDG;KLM731;07R;14;departure
08;09:30;Military;FRA;SIA657;07R;69;arrival
08;09:45;Private Jet;DXB;CPA459;07R;138;departure
08;10:00;Cargo;DXB;CPA177;25R;163;arrival
08;10:15;Regional Jet;JFK;THY654;07R;43;departure
08;10:30;Regional Jet;MAD;KLM929;07R;122;arrival
08;11:00;Regional Jet;LHR;AFR401;25L;243;departure
08;11:45;Cargo;HKG;QTR505;07L;129;arrival
08;12:30;Airliner;JFK;CPA594;25L;84;departure
08;13:30;Military;DXB;UAE880;07L;262;arrival
08;13:45;Regional Jet;AMS;KLM644;25R;36;departure
08;14:15;Regional Jet;CDG;DLH348;07L;239;arrival
08;14:30;Cargo;LHR;KLM422;25L;265;departure
08;14:45;Private Jet;IST;KLM345;25R;73;arrival
08;15:15;Regional Jet;LHR;AFR361;25R;25;departure
08;15:30;Airliner;LHR;DLH328;07R;277;arrival
08;16:00;Private Jet;MAD;IBE789;25R;230;departure
08;16:15;Airliner;MAD;IBE440;25R;193;arrival
08;16:30;Regional Jet;MAD;AAL742;07R;213;departure
08;17:00;Military;SIN;THY804;25L;35;arrival
08;17:15;Airliner;JFK;KLM430;07R;352;departure
08;17:30;Airliner;SIN;KLM464;25R;137;arrival
08;18:00;Airliner;CDG;BAW541;07L;248;departure
08;18:15;Airliner;CDG;THY300;07L;291;arrival
08;18:30;Private Jet;IST;IBE484;25R;305;departure
08;18:45;Private Jet;CDG;BAW787;25L;134;arrival
08;19:00;Cargo;DOH;AFR692;25L;187;departure
08;19:30;Regional Jet;ORD;AFR431;25L;201;arrival
08;19:45;Regional Jet;DOH;UAE797;07L;8;departure
08;20:00;Airliner;BKK;QTR441;25L;190;arrival
08;20:30;Cargo;FRA;IBE714;25R;183;departure
08;20:45;Airliner;LHR;CPA600;25R;11;arrival
08;21:00;Cargo;DXB;UAE825;25L;308;departure
08;21:15;Military;DXB;BAW589;25R;135;arrival
08;21:30;Private Jet;ATL;BAW476;25R;360;departure
08;22:15;Cargo;DXB;CPA535;25R;141;arrival
08;22:30;Military;LAX;DLH101;07R;348;departure
08;22:45;Private Jet;IST;BAW987;25R;65;arrival
08;23:30;Airliner;CDG;THY175;07L;135;departure
09;04:00;Airliner;FRA;CPA959;07L;205;arrival
09;04:30;Military;DXB;AFR210;25R;356;departure
09;05:15;Regional Jet;JFK;CPA966;25L;301;arrival
09;05:30;Regional Jet;LHR;KLM708;25R;216;departure
09;06:00;Private Jet;HKG;BAW961;07L;312;arrival
09;06:15;Airliner;DOH;CPA834;25R;235;departure
09;07:00;Airliner;FRA;THY523;07R;195;arrival
09;07:15;Military;MAD;KLM676;07L;111;departure
09;07:30;Airliner;ATL;DLH139;07R;200;arrival
